"Последний час меня мучила невыносимая боль в центре груди. Такое ощущение, будто у меня на груди сидит слон. Боль распространяется вниз по левой руке и вверх, в челюсть. Я также очень потею, меня тошнит и у меня одышка. Я принял антациды, думая, что это изжога, но это совсем не помогло. Я никогда раньше не чувствовал ничего подобного.",Экстренное,Вызов врача
"Последний час меня мучила невыносимая боль в центре груди. Такое ощущение, будто у меня на груди сидит слон. Боль распространяется вниз по левой руке и вверх, в челюсть. У меня также очень одышка, я сильно потею и чувствую тошноту. Глубокие вдохи усугубляют ситуацию. Я никогда раньше не чувствовал ничего подобного.",Экстренное,Вызов врача
"У меня очень сильная боль в груди, ощущение, будто у меня на груди сидит слон. Боль распространяется вниз по левой руке и в челюсть. У меня также сильная одышка, я сильно потею и чувствую тошноту. Я никогда раньше не чувствовал ничего подобного. Я принял антациды, думая, что это изжога, но это совсем не помогло.",Экстренное,Вызов врача
"Последний час меня мучила невыносимая боль в центре груди. Такое ощущение, будто у меня на груди сидит слон. Боль распространяется вниз по левой руке и вверх, в челюсть. Я также очень потею, меня тошнит и у меня одышка. Я принял антациды, думая, что это изжога, но это совсем не помогло. Я никогда раньше не чувствовал ничего настолько плохого.",Экстренное,Вызов врача
"Последний час меня мучила сильная давящая боль в центре груди. Такое ощущение, будто у меня на груди сидит слон. Боль распространяется вниз по левой руке и вверх, в челюсть. У меня также очень одышка, я сильно потею и чувствую тошноту. Я принял антациды, думая, что это изжога, но это совсем не помогло. Я никогда раньше не чувствовал ничего настолько плохого.",Экстренное,Вызов врача
"Последний час у меня сильная боль в груди, ощущение, будто слон сидит у меня на груди. Боль распространяется на левую руку и челюсть. У меня также сильная одышка, я сильно потею и чувствую тошноту. Я попробовал сесть, но лучше не становится. Я никогда раньше не чувствовал ничего подобного.",Экстренное,Вызов врача
"Последний час меня мучила сильная давящая боль в центре груди. Такое ощущение, будто у меня на груди сидит слон. Боль распространяется вниз по левой руке и вверх, в челюсть. Я также очень потею, меня тошнит и у меня одышка. Я принял антациды, думая, что это изжога, но это совсем не помогло. Я никогда раньше не чувствовал ничего настолько плохого.",Экстренное,Вызов врача
"Последний час меня мучила невыносимая боль в центре груди. Такое ощущение, будто на моей груди сидит слон, а боль иррадиирует вниз по левой руке и вверх, в челюсть. Я также очень потею, меня тошнит и у меня одышка. Я принял антациды, думая, что это изжога, но это совсем не помогает.",Экстренное,Вызов врача
"Последний час меня мучила невыносимая боль в центре груди. Такое ощущение, будто у меня на груди сидит слон, а боль иррадиирует в левую руку. Я сильно потею, чувствую тошноту и одышку. Даже сидя на месте, я не могу отдышаться. Я принял антациды, думая, что это изжога, но это совсем не помогает.",Экстренное,Вызов врача
"Последний час меня мучает сильная боль в центре груди – такое ощущение, будто на моей груди сидит слон. Боль распространяется вниз по левой руке и вверх, в челюсть. Я также очень потею, меня тошнит и у меня одышка. Я принял антациды, думая, что это изжога, но это совсем не помогает. Я никогда раньше не чувствовал ничего подобного.",Экстренное,Вызов врача
"Последний час меня мучила невыносимая боль в центре груди. Такое ощущение, будто у меня на груди сидит слон. Боль распространяется вниз по левой руке и вверх, в челюсть. Я сильно потею, чувствую тошноту и одышку. Я принял антациды, думая, что это изжога, но это совсем не помогло. Я никогда раньше не чувствовал ничего настолько плохого.",Экстренное,Вызов врача
"У меня была давящая боль в центре груди, которая началась около часа назад. Такое ощущение, будто у меня на груди сидит слон. Боль распространяется вниз по левой руке и вверх, в челюсть. Я также очень потею, меня тошнит и у меня одышка. Я никогда раньше не чувствовал ничего подобного. Я принял антациды, думая, что это изжога, но это совсем не помогло.",Экстренное,Вызов врача
"В течение последнего часа меня мучила сильная боль в груди, иррадиирующая в левую руку. Боль ощущается как сильное давление, как будто слон сидит у меня на груди. У меня также сильная одышка, я сильно потею и чувствую тошноту. Даже сидя на месте, я не могу отдышаться. Мое сердце чувствует, будто оно колотится и пропускает удары.",Экстренное,Вызов врача
"Последний час меня мучила сильная давящая боль в центре груди. Такое ощущение, будто у меня на груди сидит слон. Боль распространяется вниз по левой руке и вверх, в челюсть. Я также очень потею, меня тошнит и у меня одышка. Даже сидя на месте, я не могу отдышаться. Я принял антациды, думая, что это изжога, но это совсем не помогло.",Экстренное,Вызов врача
"Последний час меня мучила невыносимая боль в центре груди. Такое ощущение, будто у меня на груди сидит слон, и боль иррадиирует в левую руку. Я сильно потею, чувствую тошноту и одышку. Я принял антациды, думая, что это изжога, но это совсем не помогает. Я никогда раньше не чувствовал ничего подобного.",Экстренное,Вызов врача
"У меня сжимающая боль в груди, которая начинается в центре груди и иногда доходит до левого плеча и челюсти. Чаще всего это происходит, когда я поднимаюсь по лестнице или работаю во дворе. Боль проходит после нескольких минут отдыха. Кроме того, от активности у меня одышка сильнее, чем обычно. На прошлой неделе это произошло, когда я просто смотрел телевизор.",Срочное,Консультация или вопрос
"У меня было сильное давление и сдавливание в груди, которое то появлялось, то исчезало, обычно когда я иду или поднимаюсь по лестнице. Иногда оно распространяется на левую руку и челюсть. Когда это происходит, я чувствую одышку и сильно потею. Во время этих эпизодов у меня также кружится голова и тошнит. Вчера вечером он разбудил меня и длился около 15 минут.",Срочное,Консультация или вопрос
"У меня была сжимающая боль в груди, которая распространялась на левую руку и челюсть. Это происходит, когда я поднимаюсь по лестнице или занимаюсь какой-либо физической активностью. У меня сильно перехватывает дыхание, и я чувствую, что мне нужно остановиться и отдохнуть. Иногда я чувствую головокружение и покрываюсь холодным потом. Боль проходит после нескольких минут отдыха.",Срочное,Консультация или вопрос
"Меня мучила сжимающая боль в груди, которая то появлялась, то исчезала, обычно когда я иду или поднимаюсь по лестнице. Иногда он распространяется на левую руку и челюсть. Когда это происходит, я чувствую одышку и сильно потею. Теперь даже ношение продуктов вызывает это. У меня никогда не было такого раньше, и это меня очень пугает.",Срочное,Консультация или вопрос
