text,urgency,request_type
Привет! Ребёнок часто болеет ОРВИ — хотим к иммунологу. Хронических болезней нет.,Срочное,Запись на прием
Резко повысилось давление после стресса — кардиолог нужен.,Срочное,Запись на прием
После операции на колене — плановая реабилитационная консультация. Прошу помочь.,Плановое,Наблюдение
"Мужу плохо после укуса пчелы — сыпь по всему телу, стонет.",Экстренное,Вызов врача
"Добрый день! Обострение геморроя — боль сильная, кровотечение при туалете. Это опасно?",Срочное,Вызов врача
После операции нужна проверка швов через месяц. Что посоветуете?,Плановое,Наблюдение
"Отец жалуется на онемение лица и руки, речь стала непонятной. Инсульт? Ребёнку 4 года. Прошу помочь.",Экстренное,Перенаправление в экстренные службы
"Ребёнок съел ягоды с куста не знаю какие, рвёт, испуган. Подскажите пожалуйста.",Экстренное,Вызов врача
У меня сухая кожа — это дерматологическая проблема или норма?,Консультационное,Консультация или вопрос
После ковида одышка и слабость — хочу провериться у пульмонолога.,Срочное,Запись на прием
"Ребёнок порезал ладонь глубоко, наложили повязку, кровит.",Срочное,Вызов врача
Можно ли принимать ибупрофен и парацетамол одновременно? Очень беспокоюсь.,Консультационное,Консультация или вопрос
Какие анализы нужно сдать при планировании беременности? Мужу 68 лет.,Консультационное,Консультация или вопрос
"Ребёнок кашляет с ночи, хрипы слышны, беспокойный сон. Мне 52 года. Прошу помочь.",Срочное,Вызов врача
Глаукома — плановый контроль внутриглазного давления. Что делать?,Плановое,Наблюдение
"Помогите! Малыш 8 мес не мочится 12 часов, плачет непрерывно.",Экстренное,Вызов врача
"Добрый день! Ребёнок 3 года проглотил таблетки из аптечки, не знаю сколько. Что делать?!",Экстренное,Перенаправление в экстренные службы
Какие анализы нужно сдать при планировании беременности? Ребёнку 4 года. Прошу помочь.,Консультационное,Консультация или вопрос
Папа жалуется на боли в груди при ходьбе по лестнице. Как быть?,Срочное,Вызов врача
Хочу сдать гормоны щитовидной железы — нужно направление? Как быть?,Плановое,Запись на прием
"Ребёнок кашляет с ночи, хрипы слышны, беспокойный сон.",Срочное,Вызов врача
"Помогите! Резкая боль в спине прихватило, не могу разогнуться.",Срочное,Вызов врача
Жена беременная 32 недели — боли внизу живота схваткообразные. Хронических болезней нет. Что посоветуете?,Срочное,Вызов врача
"Острый психоз — брат угрожает причинить себе вред, заперся в комнате. Аллергии нет. Что делать?",Экстренное,Перенаправление в экстренные службы
"Муж потерял сознание, дышит с трудом, губы посинели. Вызываю скорую или к вам?",Экстренное,Перенаправление в экстренные службы
"Резкая боль в спине прихватило, не могу разогнуться.",Срочное,Вызов врача
Привет! Папа жалуется на боли в груди при ходьбе по лестнице. Ребёнку 4 года.,Срочное,Вызов врача
"Нашла уплотнение в груди, хочу срочно попасть к маммологу. Бабушке 75.",Срочное,Запись на прием
"Ребёнок захлебнулся водой в бассейне, откачали но он вялый и дышит плохо. Мне 52 года.",Экстренное,Перенаправление в экстренные службы
"У ребёнка температура спала, но кашель остался — нужен педиатр. Мужу 68 лет.",Срочное,Запись на прием
"Здравствуйте! Передозировка — подруга выпила много таблеток, не реагирует на меня.",Экстренное,Перенаправление в экстренные службы
Здравствуйте! Как понять что у меня синдром раздражённого кишечника?,Консультационное,Консультация или вопрос
"Добрый день! Повышенное давление 160/100 несколько дней, таблетки не помогают. Хронических болезней нет.",Срочное,Вызов врача
Срочно! Хочу узнать какие прививки нужны перед поездкой в Азию. Нужна ваша помощь.,Консультационное,Запись на прием
Жена беременная 32 недели — боли внизу живота схваткообразные. Что делать?,Срочное,Вызов врача
"Судороги у мужа продолжаются больше 5 минут, ранее эпилепсии не было. Как быть?",Экстренное,Перенаправление в экстренные службы
Ребёнок плохо слышит учителя в школе — нужен ЛОР.,Срочное,Запись на прием
"Кожная сыпь не проходит 2 недели, зудит — запись к дерматологу.",Срочное,Запись на прием
"Срочно! Обострение гастрита — боль сильная после еды, рвота. Нужна ваша помощь.",Срочное,Вызов врача
"Рана на ноге краснеет и припухает, наверное инфицировалась.",Срочное,Вызов врача
Добрый день! Остеопороз — плановая денситометрия раз в год. Что посоветуете?,Плановое,Наблюдение
Здравствуйте! Задержка менструации 2 месяца не беременна по тесту — к гинекологу.,Срочное,Запись на прием
Плановый осмотр у кардиолога раз в год — запишите пожалуйста.,Плановое,Запись на прием
Папа жалуется на боли в груди при ходьбе по лестнице. Очень беспокоюсь.,Срочное,Вызов врача
Добрый вечер. Запись к сексологу на консультацию — деликатный вопрос. У меня диабет.,Консультационное,Запись на прием
Помогите пожалуйста. Хочу поговорить с врачом о вреде курения и как бросить. Мне 35 лет.,Консультационное,Запись на прием
"Падение с высоты 2 метра, сознание есть, но боль в спине. Аллергии нет.",Экстренное,Вызов врача
Консультация нефролога по результатам анализа мочи. Мне 52 года.,Консультационное,Запись на прием
"Острая глаукома — боль в глазу нестерпимая, тошнота, потеря зрения. Жене 45 лет. Буду благодарен.",Экстренное,Перенаправление в экстренные службы
Ребёнок с пороком сердца — плановая ЭКГ и осмотр кардиолога. Прошу помочь.,Плановое,Наблюдение
Привет! Как понять что у ребёнка аллергия а не простуда?,Консультационное,Консультация или вопрос
Помогите! Какая норма давления для мужчины 50 лет? Ребёнку 4 года.,Консультационное,Консультация или вопрос
Резкая потеря веса без причины — хочу записаться на обследование. Мужу 68 лет.,Срочное,Запись на прием
Добрый вечер. Хочу поговорить с врачом о профилактике остеопороза. Мужу 68 лет.,Консультационное,Запись на прием
Сильные головные боли каждый день последнюю неделю — к неврологу. Это опасно?,Срочное,Запись на прием
Давно не был у стоматолога — хочу плановый осмотр. Подскажите пожалуйста.,Плановое,Запись на прием
"Ребёнок съел ягоды с куста не знаю какие, рвёт, испуган. Жене 45 лет. Очень беспокоюсь.",Экстренное,Вызов врача
Сильное жжение в желудке ночью — гастроэнтеролог нужен быстро.,Срочное,Запись на прием
Почечная недостаточность — плановая нефрологическая консультация. Мужу 68 лет.,Плановое,Наблюдение
"Ребёнок съел ягоды с куста не знаю какие, рвёт, испуган. Бабушке 75. Как быть?",Экстренное,Вызов врача
Мониторинг МРТ головного мозга через год после лечения. Как быть?,Плановое,Наблюдение
"Срочно! Сыпь по телу ребёнка внезапная, зудит, температура нет.",Срочное,Вызов врача
"Резкая головная боль как удар по голове, самая сильная в жизни.",Экстренное,Вызов врача
"Ребёнок подвернул ногу, плачет, наступить не может.",Срочное,Вызов врача
Привет! Выпадение волос сильное — записаться к трихологу или эндокринологу? Жене 45 лет.,Срочное,Запись на прием
Помогите! После инфаркта — плановая кардиореабилитация через 3 месяца.,Плановое,Наблюдение
После инфаркта — плановая кардиореабилитация через 3 месяца.,Плановое,Наблюдение
Контрольное УЗИ щитовидки через 6 месяцев после лечения. У меня диабет. Как быть?,Плановое,Наблюдение
Помогите! После кесарева сечения — плановый осмотр гинеколога через 2 месяца. Что делать?,Плановое,Наблюдение
Как избежать растяжек при беременности?,Консультационное,Консультация или вопрос
Хочу обсудить с врачом риски операции по поводу грыжи.,Консультационное,Запись на прием
Нужна консультация генетика перед планированием ребёнка. Как быть?,Плановое,Запись на прием
Хронический панкреатит — УЗИ и консультация гастроэнтеролога.,Плановое,Наблюдение
Запись к сексологу на консультацию — деликатный вопрос. Я беременна 28 недель.,Консультационное,Запись на прием
Задержка менструации 2 месяца не беременна по тесту — к гинекологу. Бабушке 75.,Срочное,Запись на прием
"Привет! Ребёнок съел ягоды с куста не знаю какие, рвёт, испуган.",Экстренное,Вызов врача
Сильное носовое кровотечение не останавливается 30 минут. Нужна ваша помощь.,Экстренное,Вызов врача
